"x of ","x de "
"Interest on the 12nd tranche","Juros da 12ª parcela"
"2 Cartões de Crédito","2 Cartões de Crédito"
"Instant payment with automatic status consolidation, offer a fast and convenient method.","Pagamento instantâneo com consolidação automática de status, oferece um método rápido e conveniente."
"Instruction during checkout","Instrução durante o checkout"
"Boleto Bancário","Boleto Bancário"
"Boleto registered, fully integrated into your Santander account.","Boleto registado, totalmente integrado à sua conta Santander."
"Days due","Dias de vencimento"
"Consecutive days.","Dias consecutivos."
"Information displayed at checkout.","Informação exibida no checkout."
"Information will be printed on the boleto.","Informação impressa no boleto."
"Capture name in the payment form?","Capturar nome no formulário de pagamento?"
Wallet,Carteiras Digitais
"Offer instant payment across multiple wallets.","Ofereça pagamento instantâneo em várias carteiras."
Getpay,Getpay
"Offer sales via external link, keeping your inventory and order status in sync.","Ofereça vendas via link externo, mantendo seu estoque e status do pedido sincronizados."
"Product Type","Tipos de produto"
"Allowed Methods","Métodos Permitidos"
"Max Installments","Número máximo de parcelas"
"Fraud Manager","Antifraude"
Notification,Notificação
"Receive status tracking for your transactions.","Receba atualizações de status de suas transações."
"Attribute Relationship Definition","Definição de Relacionamento de Campos"
"List the attributes of your Magento the data expected by our API.","Liste os campos do seu Magento com os dados esperados pela nossa API."
"The CPF/CNPJ will be an attribute obtained from the","O CPF/CNPJ será um atributo obtido do"
"The Street attribute is","O campo Rua é a"
"The address number is","O campo número é a"
"The address district is","O campo bairro é a"
"The address complement is","O campo de complemento é a"
"Erro genérico.","Erro genérico."
"O pagamento por boleto não está habilitado para esse estabelecimento.","O pagamento por boleto não está habilitado para esse estabelecimento."
"Valor da entrada maior ou igual ao valor da transação.","Valor da entrada maior ou igual ao valor da transação."
"Valor da parcela inválido.","Valor da parcela inválido."
"Contatar emissor.","Contatar emissor."
"NSU inválido.","NSU inválido."
"Data de emissão do cartão inválida.","Data de emissão do cartão inválida."
"Data de vencimento inválida.","Data de vencimento inválida."
"Transação desfeita.","Transação desfeita."
"Autenticação inválida.","Autenticação inválida."
"Autorização inválida.","Autorização inválida."
"Pré-autorização inválida.","Pré-autorização inválida."
"Erro de formato.","Erro de formato."
"Entrar em contato com a instituição.","Entrar em contato com a instituição."
"Resposta parametrizada negativa.","Resposta parametrizada negativa."
"Pendente de confirmação.","Pendente de confirmação."
"Transação cancelada.","Transação cancelada."
"Transação não permitida neste ciclo.","Transação não permitida neste ciclo."
"Transação estornada.","Transação estornada."
"Cartão obrigatório na transação.","Cartão obrigatório na transação."
"Rejeição genérica.","Rejeição genérica."
"Forma de pagamento inválido.","Forma de pagamento inválido."
"Dígito cartão inválido.","Dígito cartão inválido."
"Transação repetida.","Transação repetida."
"Número do cartão não confere.","Número do cartão não confere."
"Transação não cancelável.","Transação não cancelável."
"Transação já cancelada.","Transação já cancelada."
"Dados inválidos no cancelamento.","Dados inválidos no cancelamento."
"Valor cancelamento inválido.","Valor cancelamento inválido."
"Cartão inválido.","Cartão inválido."
"Excede data.","Excede data."
"Cancelamento inválido.","Cancelamento inválido."
"Use função débito.","Use função débito."
"Use função crédito.","Use função crédito."
"Transação já efetuada.","Transação já efetuada."
"Transação não autorizada pelo cartão.","Transação não autorizada pelo cartão."
"Fora do prazo permitido.","Fora do prazo permitido."
"Autorização já encontra-se em processamento.","Autorização já encontra-se em processamento."
"Autorização a confirmar o recebimento.","Autorização a confirmar o recebimento."
"Cliente não cadastrado.","Cliente não cadastrado."
"Solicite ao portator ligar para o emissor.","Solicite ao portator ligar para o emissor."
"Cartao inválido ou produto não habilitado.","Cartao inválido ou produto não habilitado."
"Transação não processada.","Transação não processada."
"Registro não encontrado.","Registro não encontrado."
"Transação não existe.","Transação não existe."
"Transação não disponível.","Transação não disponível."
"Autorização não encontrada.","Autorização não encontrada."
"Resposta inválida.","Resposta inválida."
"Instituição temporariamente fora de operação.","Instituição temporariamente fora de operação."
"Mal funcionamento do sistema.","Mal funcionamento do sistema."
"Erro banco de dados.","Erro banco de dados."
"Autorizadora temporariamente bloqueada.","Autorizadora temporariamente bloqueada."
"Erro na transação.","Erro na transação."
"Autorizadora não inicializada.","Autorizadora não inicializada."
"Canal desconectado.","Canal desconectado."
"Erro de comunicação.","Erro de comunicação."
"Internal Server Error.","Internal Server Error."
"Sistema do Emissor indisponível - Tente novamente.","Sistema do Emissor indisponível - Tente novamente."
Timeout.,Timeout.
"Timeout interno.","Timeout interno."
"Erro na geração de boleto.","Erro na geração de boleto."
"Nosso número inválido/incompatível.","Nosso número inválido/incompatível."
"CEP do sacado incorreto.","CEP do sacado incorreto."
"CPF/CNPJ incorreto.","CPF/CNPJ incorreto."
"Valor do título não informado.","Valor do título não informado."
"Data emissão inválida.","Data emissão inválida."
"Data emissão maior que a data vencimento.","Data emissão maior que a data vencimento."
"Endereço do sacado não informado.","Endereço do sacado não informado."
"Município do sacado não informado.","Município do sacado não informado."
"Unidade da federação incorreta.","Unidade da federação incorreta."
"Valor desconto inválido.","Valor desconto inválido."
"CEP do sacado não encontrado.","CEP do sacado não encontrado."
"Código protesto inválido.","Código protesto inválido."
"Tipo de documento inválido.","Tipo de documento inválido."
"Quantidade de dias para protesto inválido.","Quantidade de dias para protesto inválido."
"Bairro do sacado não informado.","Bairro do sacado não informado."
"Certificado inconsistente.","Certificado inconsistente."
"Estação não é do convênio.","Estação não é do convênio."
"Convênio não marcado para troca de mensagem para entrada online.","Convênio não marcado para troca de mensagem para entrada online."
"Ambiente marcado como teste e NSU não é de teste.","Ambiente marcado como teste e NSU não é de teste."
"Ambiente marcado como produção com NSU de teste.","Ambiente marcado como produção com NSU de teste."
"Código estação não pertence ao convênio.","Código estação não pertence ao convênio."
"Convênio não está ativo.","Convênio não está ativo."
"Tipo desconto inválido.","Tipo desconto inválido."
"Isento com valor de desconto.","Isento com valor de desconto."
"Campo nosso número não numérico.","Campo nosso número não numérico."
"Cliente não possui entrada online.","Cliente não possui entrada online."
"Data limite desconto inválida.","Data limite desconto inválida."
"Número de cartão não pertence ao emissor | número de cartão inválido.","Número de cartão não pertence ao emissor | número de cartão inválido."
"O cartão está expirado.","O cartão está expirado."
"Valor mínimo da transação inválido.","Valor mínimo da transação inválido."
"Conta destino inválida ou inexistente.","Conta destino inválida ou inexistente."
"Emissor fora do ar.","Emissor fora do ar."
"Suspensão de pagamento recorrente para todos serviço.","Suspensão de pagamento recorrente para todos serviço."
"Consultar credenciador.","Consultar credenciador."
"Transação não permitida para o cartão.","Transação não permitida para o cartão."
"Função incorreta (débito).","Função incorreta (débito)."
"Transação não autorizada.","Transação não autorizada."
"Valor excesso | saque.","Valor excesso | saque."
"Conta origem inválida ou inexistente.","Conta origem inválida ou inexistente."
"Cartão doméstico - transação internacional.","Cartão doméstico - transação internacional."
"Quant. de saques excedido.","Quant. de saques excedido."
"Senha vencida/erro de criptografia de senha.","Senha vencida/erro de criptografia de senha."
"Cartão novo sem desbloqueio.","Cartão novo sem desbloqueio."
"Diferença - pré autorização.","Diferença - pré autorização."
"Suspensão de pagamento recorrente para um serviço.","Suspensão de pagamento recorrente para um serviço."
"Verifique os dados do Cartão.","Verifique os dados do Cartão."
"Entrar em contato com a Getnet.","Entrar em contato com a Getnet."
"Transação negada. Cód: 200.","Transação negada. Cód: 200."
"Transação negada. Cód: 402.","Transação negada. Cód: 402."
"Transação negada. Cód: 250.","Transação negada. Cód: 250."
"Transação negada. Cód: 0700.","Transação negada. Cód: 0700."
"Transação negada. Cód: 2000.","Transação negada. Cód: 2000."
"Transação negada. Cód: 480.","Transação negada. Cód: 480."
"Transação enviada com o campo ""amount"" preenchido com o valor nulo ou inválido. Cód: 0150.","Transação enviada com o campo ""amount"" preenchido com o valor nulo ou inválido. Cód: 0150."
"Transação enviada com o campo ""required"" preenchido com o valor nulo ou inválido. Cód: 0902.","Transação enviada com o campo ""required"" preenchido com o valor nulo ou inválido. Cód: 0902."
"Transação enviada com o campo ""required"" preenchido com o valor nulo ou inválido. Cód: 101.","Transação enviada com o campo ""required"" preenchido com o valor nulo ou inválido. Cód: 101."
"Transação enviada com o campo ""required"" preenchido com o valor nulo ou inválido. Cód: 102.","Transação enviada com o campo ""required"" preenchido com o valor nulo ou inválido. Cód: 102."
"Dados do cartão de crédito preenchidos incorretamente. Cód: 231.","Dados do cartão de crédito preenchidos incorretamente. Cód: 231."
"Dados do cartão de crédito preenchidos incorretamente. Cód: 0400.","Dados do cartão de crédito preenchidos incorretamente. Cód: 0400."
"Dados do cartão de crédito preenchidos incorretamente. Cód: 202.","Dados do cartão de crédito preenchidos incorretamente. Cód: 202."
"Emissor do cartão de crédito não aprovou a transação. Cód: 400.","Emissor do cartão de crédito não aprovou a transação. Cód: 400."
"Emissor do cartão de crédito não aprovou a transação. Cód: 0330.","Emissor do cartão de crédito não aprovou a transação. Cód: 0330."
"Emissor do cartão de crédito não aprovou a transação. Cód: 0500.","Emissor do cartão de crédito não aprovou a transação. Cód: 0500."
"Emissor do cartão de crédito não aprovou a transação. Cód: 0600.","Emissor do cartão de crédito não aprovou a transação. Cód: 0600."
"Emissor do cartão de crédito não aprovou a transação. Cód: 1300.","Emissor do cartão de crédito não aprovou a transação. Cód: 1300."
"Emissor do cartão de crédito não aprovou a transação. Cód: 0800.","Emissor do cartão de crédito não aprovou a transação. Cód: 0800."
"Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 234.","Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 234."
"Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 0901.","Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 0901."
"Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 0000.","Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 0000."
"Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 0903.","Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 0903."
"Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 150.","Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 150."
"Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 151.","Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 151."
"Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 121.","Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 121."
"Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 500.","Indisponibilidade no sistema Antifraude. Contate a Getnet. Cód: 500."
cc_installments,Parcelamento
cc_type,Bandeira
cc_number,Número
cc_cardholder_name,Portador
cc_holder_tax_document,CPF/CNPJ
cc_holder_phone,Telefone
device,Dispositivo
terminal_nsu,Terminal NSU
authorization_code,Código de Autorização
acquirer_transaction_id,Código da Adquirente
transaction_id,Código da Transação
payment_id,Id do Pagamento
cc_payment_first_amount,Primeiro Valor
payment_id_secondary,Id do Pagamento Secundário
cc_payment_secondary_amount,Valor Secundário
cc_secondary_installments,Parcelamento Secundário
cc_secondary_type,Bandeira Secundária
cc_secondary_number,Número Secundário
cc_secondary_cardholder_name,Portador Secundário
terminal_nsu_secondary,Terminal NSU Secundário
authorization_code_secondary,Código de Autorização Secundário
acquirer_transaction_id_secondary,Código da Adquirente Secundário
transaction_id_secondary,Código da Transação Secundário
